image_name,width,height,x0,y0,x1,y1
00001722.jpg,1333,2000,490,320,687,664
00001044.jpg,2000,1333,791,119,1200,436
00001050.jpg,667,1000,304,155,407,331
00001736.jpg,626,417,147,14,519,303
00003121.jpg,626,418,462,60,599,166
00000400.jpg,600,400,148,61,377,242
00002571.jpg,960,720,117,159,317,334
00000366.jpg,900,601,170,88,506,350
00002565.jpg,1267,712,241,40,963,513
00001939.jpg,612,424,195,57,383,209
00001087.jpg,1024,683,405,27,614,189
00001093.jpg,821,1300,290,28,392,211
00001905.jpg,612,408,137,20,394,224
00001911.jpg,792,463,317,187,442,272
00002997.jpg,882,588,269,245,363,318
00003451.jpg,236,354,87,46,131,121
00001246.jpg,600,419,210,32,361,158
00001520.jpg,1098,732,684,251,987,486
00002029.jpg,345,520,149,66,207,167
00003337.jpg,500,500,173,8,252,100
00003323.jpg,408,612,170,77,247,208
00001252.jpg,343,280,144,31,211,94
00002983.jpg,1200,939,435,149,553,254
00003445.jpg,236,314,44,21,95,97
00002015.jpg,684,1024,147,71,528,720
00000602.jpg,1300,956,368,184,622,402
00000616.jpg,910,607,458,373,644,514
00002001.jpg,1500,1120,564,1,960,328
00002767.jpg,900,600,240,36,864,531
00000170.jpg,626,418,299,72,368,127
00002954.jpg,866,1300,166,448,355,778
00003492.jpg,236,354,101,26,145,103
00000825.jpg,367,550,161,32,236,163
00000831.jpg,800,450,154,7,685,362
00002798.jpg,1000,667,106,332,264,454
00002940.jpg,1062,1092,386,360,481,474
00003486.jpg,236,157,64,24,169,106
00000819.jpg,1024,683,289,20,640,292
00001332.jpg,600,620,237,2,376,167
00000992.jpg,1125,750,479,194,694,357
00003243.jpg,500,488,157,284,215,350
00000986.jpg,1600,900,832,488,1380,854
00001440.jpg,3850,2567,1204,564,2289,1406
00001326.jpg,626,417,130,35,303,172
00002607.jpg,626,417,279,48,456,185
00002161.jpg,1000,730,70,140,172,227
00001468.jpg,600,419,276,55,589,309
00000762.jpg,800,583,482,22,622,141
00002613.jpg,2000,1333,369,324,984,800
00000004.jpg,1000,1241,476,177,588,335
00000789.jpg,2000,3019,735,296,1171,1062
00000951.jpg,1356,1681,376,164,619,516
00001497.jpg,600,336,125,26,344,172
00001483.jpg,960,580,156,4,860,489
00002808.jpg,500,333,179,59,336,183
00003041.jpg,800,533,312,64,639,323
00000548.jpg,508,339,395,100,506,188
00001656.jpg,650,433,329,16,443,105
00001130.jpg,867,1300,131,1,442,422
00001124.jpg,500,333,81,1,412,183
00001642.jpg,1125,750,452,219,677,393
00003055.jpg,1300,957,191,187,527,475
00002405.jpg,2048,1365,1266,105,1634,397
00000206.jpg,1000,667,527,87,803,296
00002411.jpg,840,560,470,76,678,237
00003069.jpg,1023,713,224,319,483,529
00000560.jpg,1500,1001,769,81,1271,464
00001695.jpg,323,254,98,62,211,166
00001681.jpg,626,417,250,48,386,156
00001859.jpg,678,1024,313,126,397,274
00001871.jpg,390,280,127,33,273,152
00001865.jpg,1050,700,335,26,827,408
00001864.jpg,1300,866,476,81,606,182
00001870.jpg,676,1023,103,44,434,614
00001858.jpg,1600,1156,890,74,1286,407
00001680.jpg,600,419,245,43,358,134
00003097.jpg,612,408,420,149,522,229
00003083.jpg,1000,1500,379,207,490,402
00001694.jpg,319,450,109,27,182,146
00000207.jpg,1024,682,639,136,758,228
00001119.jpg,400,600,133,1,238,176
00000561.jpg,8192,5461,3976,2375,5544,3592
00003068.jpg,960,640,307,176,658,448
00002376.jpg,800,547,162,39,741,500
00000213.jpg,735,490,212,39,499,261
00001125.jpg,1000,569,381,77,614,231
00003054.jpg,960,720,637,132,792,267
00001643.jpg,1300,970,761,224,1005,435
00001657.jpg,1500,1101,739,240,1081,538
00000549.jpg,626,415,90,148,229,256
00002438.jpg,1400,1750,642,320,776,519
00001131.jpg,366,540,99,34,258,301
00003295.jpg,612,361,356,65,575,219
00001482.jpg,770,513,254,21,467,190
00000944.jpg,866,1390,431,78,564,328
00002821.jpg,2500,1667,1266,393,1835,826
00000788.jpg,590,788,252,67,358,232
00002174.jpg,1067,1390,280,429,455,689
00000763.jpg,955,1300,234,170,492,578
00000005.jpg,1300,957,811,171,976,313
00002606.jpg,640,480,334,75,410,142
00000011.jpg,4256,2832,1481,830,2110,1317
00000777.jpg,1024,683,312,98,678,389
00001469.jpg,700,1050,353,35,438,183
00002160.jpg,699,1050,192,331,442,768
00001441.jpg,1470,980,496,62,938,405
00000987.jpg,683,1023,297,42,442,296
00003256.jpg,1024,1024,324,382,674,782
00001327.jpg,1300,1300,355,124,691,515
00001333.jpg,1000,667,602,67,835,248
00001455.jpg,1001,1600,486,248,580,422
00000993.jpg,1024,682,501,86,844,347
00000830.jpg,500,327,210,43,319,126
00003487.jpg,236,236,79,60,132,121
00002941.jpg,464,700,141,261,224,407
00002799.jpg,800,532,398,255,690,481
00001284.jpg,1300,863,302,39,646,304
00000824.jpg,333,519,116,26,194,167
00002000.jpg,640,360,146,42,376,193
00000617.jpg,1024,683,123,114,328,273
