epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.556,0,1.4433,0,0,0,0,0,0,0.0076,0,0.000664251,0.000664251,0.000664251
2,599.059,0,0.00175,0,0,0,0,0,0,0.00163,0,0.001287,0.001287,0.001287
3,893.787,0,0.0003,0,0,0,0,0,0,0.00042,0,0.00186574,0.00186574,0.00186574
4,1176.07,0,0.00018,0,0,0,0,0,0,0.00029,0,0.001802,0.001802,0.001802
5,1461.15,0,4e-05,0,0,0,0,0,0,7e-05,0,0.001736,0.001736,0.001736
6,1741.03,0,0,0,0,0,0,0,0,3e-05,0,0.00167,0.00167,0.00167
7,2019.1,0,0,0,0,0,0,0,0,2e-05,0,0.001604,0.001604,0.001604
8,2274.11,0,0,0,0,0,0,0,0,2e-05,0,0.001538,0.001538,0.001538
9,2514.43,0,0,0,0,0,0,0,0,1e-05,0,0.001472,0.001472,0.001472
10,2752.3,0,0,0,0,0,0,0,0,1e-05,0,0.001406,0.001406,0.001406
11,2989.76,0,0,0,0,0,0,0,0,9e-05,0,0.00134,0.00134,0.00134
12,3226.44,0,0,0,0,0,0,0,0,2e-05,0,0.001274,0.001274,0.001274
13,3464.6,0,0,0,0,0,0,0,0,7e-05,0,0.001208,0.001208,0.001208
14,3701.03,0,0,0,0,0,0,0,0,3e-05,0,0.001142,0.001142,0.001142
15,3937.73,0,0,0,0,0,0,0,0,2e-05,0,0.001076,0.001076,0.001076
16,4176.21,0,0,0,0,0,0,0,0,4e-05,0,0.00101,0.00101,0.00101
17,4413.99,0,0,0,0,0,0,0,0,4e-05,0,0.000944,0.000944,0.000944
18,4651.19,0,0,0,0,0,0,0,0,0.00014,0,0.000878,0.000878,0.000878
19,4889.91,0,0,0,0,0,0,0,0,0.00012,0,0.000812,0.000812,0.000812
20,5130.69,0,0,0,0,0,0,0,0,1e-05,0,0.000746,0.000746,0.000746
21,5366.75,0,0,0,0,0,0,0,0,0,0,0.00068,0.00068,0.00068
22,5604.13,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
23,5839.86,0,0,0,0,0,0,0,0,0,0,0.000548,0.000548,0.000548
24,6080.38,0,0,0,0,0,0,0,0,0,0,0.000482,0.000482,0.000482
25,6320.9,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
26,6561.27,0,0,0,0,0,0,0,0,0,0,0.00035,0.00035,0.00035
27,6802.06,0,0,0,0,0,0,0,0,0,0,0.000284,0.000284,0.000284
28,7042.1,0,0,0,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
29,7284.4,0,0,0,0,0,0,0,0,0,0,0.000152,0.000152,0.000152
30,7521.5,0,0,0,0,0,0,0,0,0,0,8.6e-05,8.6e-05,8.6e-05
1,250.668,0,1.4433,0,0,0,0,0,0,0.0076,0,0.000664251,0.000664251,0.000664251
2,498.161,0,0.00175,0,0,0,0,0,0,0.00163,0,0.001287,0.001287,0.001287
