epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.356,1.85651,1.91382,1.49874,0.6475,0.70675,0.71473,0.37779,1.50605,1.50984,1.30034,0.000664251,0.000664251,0.000664251
2,286.014,1.54514,1.34497,1.33103,0.61147,0.69465,0.69811,0.3262,1.5253,1.45239,1.35964,0.00119916,0.00119916,0.00119916
3,426.662,1.48481,1.20549,1.3072,0.7721,0.76044,0.83027,0.43842,1.46515,1.18396,1.33602,0.00160206,0.00160206,0.00160206
4,565.28,1.40169,1.07737,1.25833,0.75011,0.77768,0.84261,0.39327,1.56552,1.28297,1.3791,0.001406,0.001406,0.001406
5,703.696,1.3561,1.01304,1.24722,0.79324,0.82685,0.88706,0.53215,1.33832,1.0219,1.24959,0.001208,0.001208,0.001208
6,843.99,1.27888,0.9326,1.21238,0.85354,0.78494,0.89977,0.53484,1.35203,0.97247,1.24275,0.00101,0.00101,0.00101
7,983.017,1.24425,0.87747,1.17741,0.86358,0.80172,0.92221,0.49469,1.43259,0.99457,1.28749,0.000812,0.000812,0.000812
8,1122.77,1.19583,0.83312,1.15696,0.88242,0.81043,0.92831,0.55597,1.32515,0.9055,1.23457,0.000614,0.000614,0.000614
9,1269.15,1.16345,0.79992,1.12636,0.88604,0.82897,0.9401,0.55397,1.35757,0.86234,1.24254,0.000416,0.000416,0.000416
10,1412.85,1.12171,0.76491,1.12062,0.88731,0.8431,0.9496,0.62896,1.19428,0.78138,1.15349,0.000218,0.000218,0.000218
